name,city,country_code,size
Hotel Plaza Colon,Arica,cl,38
Plaza Grande Hotel,Quito,ec,15
Artina Suites Hotel,Makati City,ph,41
OYO Rooms Chandigarh Railway Station,ChandÄ«garh,in,18
Hotel-Landgasthof Stranachwirt,Sankt Michael im Lungau,at,15
Casa cu Tei,ReĹźiĹŁa,ro,14
White Palace Bangkok,Bangkok,th,97
BAL Hotel & Spa,Quintueles,es,45
The Royal Hotel,Durban,za,204
Caleta Dorada,Caleta de Fuste,es,295
One Reynosa Valle Alto,Reynosa,mx,134
Pierre & Vacances Premium Les Rives de Cannes Mandelieu,Mandelieu,fr,158
Palais Hotel,SĂŁo Vicente (Sao Paulo),br,40
Atrium Apartamenty,Sarbinowo,pl,30
Liget Wellness Ă©s Konferencia Hotel,Szarvas,hu,39
Home Inn Shenzhen Caopu Metro Station,Shenzhen,cn,131
Gateway Motor Lodge - Wanganui,Wanganui,nz,12
Hotel und Weingut KarlsmĂĽhle,Mertesdorf bei Trier,de,42
Hampton Inn Washington,Washington (Pennsylvania),us,111
Maruei,Fujikawaguchiko,jp,50
DeLuna Diving Resort,Puerto Galera,ph,20
Sim-Er Hotel,Kars,tr,150
Hotel Goldener Anker,Radebeul,de,60
Boathouse Resort Suanphung,Suanphung,th,16
Luna Blanca Resort & SPA,Side,tr,316
Homewood Suites Grand Rapids,Grand Rapids (Michigan),us,78
Hotel Folgore,Passo Stelvio,it,36
Max Savassi Apart Service,Belo Horizonte (Minas Gerais),br,125
Best Western Tunica Resorts,Robinsonville (Mississippi),us,80
Seven Springs,ManÄli,in,11
Zhangjiajie Weiyi Fashion Hotel,Zhangjiajie,cn,88
Gaustatoppen Booking,Rjukan,no,40
Lighthouse Inn Cape Cod,West Dennis (Massachusetts),us,68
Apartamentos Embat,Can Pastilla,es,28
Polis Grand Hotel,Athens,gr,100
Forenom Premium Apartments Tampere City,Tampere,fi,53
Seehotel Schlierseer Hof,Schliersee,de,45
Hostel Buenos Aires,El Calafate,ar,30
Melrose,SkĂłpelos,gr,15
Benz Hotel,Zhongli ,tw,50
Hotell Tre Liljor,VĂ¤rnamo,se,40
Marin Hotel,Ordu,tr,20
Hotel Villa Silence,Buch am Buchrain,de,20
Apartamentos Villa Canaima,Puerto del Carmen,es,31
Best Western Wittenberg Inn,Wittenberg (Wisconsin),us,63
The Flamingo Safari Lodge and Campsite,Karatu,tz,170
Hotel La Joyosa Guarda,Olite,es,24
Pullman Liverpool,Liverpool,gb,216
City Express Puebla FINSA,Puebla,mx,103
La Pensione Svizzera,Taormina,it,22
Vacation Village at Bonaventure,Weston (Florida),us,630
Hampton Inn & Suites Phenix City- Columbus Area,Phenix City (Alabama),us,81
Hotel Pasike,Trogir,hr,13
Rafting Center Drina Tara,FoÄŤa,ba,55
Sanya Hua Ting Zhu Ti Inn,Sanya,cn,100
L'Eden Park,Contes,fr,14
Martin's Brussels EU,Brussels,be,100
UdumĂ¤e Holiday Farm,TĂµrva,ee,27
Apart Santa Lucia,Mar del Plata,ar,14
Crompton Court Apartments,London,gb,15
Homewood Suites Atlanta Midtown,Atlanta (Georgia),us,92
Tryp Malaga Guadalmar Hotel,MĂˇlaga,es,195
Guam Reef & Olive Spa Resort,Tumon,gu,453
Gyeongju Tour Guest House,Gyeongju,kr,16
A Nice Resort,Buriram,th,40
Anwar Al Habeeb Hotel,Al Madinah,sa,40
Hilton Bournemouth,Bournemouth,gb,174
Asia Artemis Suit Hotel Ä°stanbul,Istanbul,tr,50
Home Inn Shanghai Songjiang Jiutin Jiudu Road,Shanghai,cn,64
Toyoko Inn JR Kobe-eki Kita-guchi,Kobe,jp,169
Hotel Restaurant de la Tour,Sanary-sur-Mer,fr,24
Hotel Deville Moena,Moena,it,34
Southview Motel,Westlock (Alberta),ca,14
Vila Hibisco Pousada e Apart,Vassouras,br,24
Hotel City,Desenzano del Garda,it,35
Lautrec Opera,Paris,fr,59
Hotel Fryderyk,Nysa,pl,15
Taleju Boutique Hotel,Kathmandu,np,27
Tuti Bororo,RondonĂłpolis,br,101
Murataya,Kanazawa,jp,11
Postumia Hotel Design,Oderzo,it,29
Miami Sun Hotel - Downtown/Port of Miami,Miami (Florida),us,90
Hosteria Chalp,Ushuaia,ar,17
Gran Chalet Hotel & Petit Spa,BetrĂ©n,es,26
Thon Hotel Harstad,Harstad,no,141
Conjunto Residencial Las Calas,Torrevieja,es,49
Irida Apartments,Pefkohori,gr,13
Days Inn San Simeon,San Simeon (California),us,48
Palace Hotel Itapira,Itapira,br,21
Forest Grove Inn,Forest Grove (Oregon),us,20
Hotel One Multan,Multan,pk,20
HĂ´tel Saint-Hubert,Cour Cheverny,fr,20
The Fallowfield Lodge,Fallowfield,gb,28
Country Inn and Suites College Station,College Station (Texas),us,64
Romantik Hotel der Wiesenhof,Pertisau am Achensee,at,65
HĂ´tel Sanotel,Gien,fr,60
Clarion Hotel San Angelo,San Angelo,us,78
Samaru Beach House,Weligama,lk,15
Novotel Edinburgh Centre,Edinburgh,gb,180
Les Chalets du Villard,Saint-VĂ©ran,fr,24
Lodge at Jackson Village,Jackson (New Hamphshire),us,32
Kamer Suite & Hotel,Cesme,tr,37
Polo Towers By Diamond Resorts,Las Vegas (Nevada),us,829
Midtown Hotel,Istanbul,tr,80
Jiamenxin Holiday Hotel,Guangzhou,cn,118
Hotel Torreon,Pereira,co,75
Aparthotel Seidel Garni,Inzell,de,17
Puteri Bayu Beach Resort,Pangkor Island,my,122
Hotel Victoria,Plzen,cz,55
Hoa Lu Hotel,Ninh Binh,vn,75
Hotel Stella Maris,Mexico City,mx,114
Hotel Realminas,Governador Valadares (Minas Gerais),br,72
C.Courtesy Suites,Amuwo,ng,23
Eastin Residences Muscat,Muscat,om,50
Inkarri Hostal,Cusco,pe,36
Ashnil Mara Camp,Masai Mara,ke,40
Kinosaki Yamamotoya,Toyooka,jp,15
Scandic TĂ¤by,TĂ¤by,se,120
Tonle Sap Hotel and Restaurant,KĂ˘mpĂłng ChhnÄng,kh,18
Deniliquin Country Club Motor Inn,Deniliquin,au,20
Lake Saroma Tsuruga Resort,Kitami,jp,70
